name,email,contact,focus
Andreessen Horowitz,team@a16z.com,Chris Dixon,Crypto/AI
Sequoia Capital,contact@sequoiacap.com,Roelof Botha,FinTech
Accel Partners,contact@accel.com,Sonali De Rycker,B2B SaaS
Index Ventures,contact@indexventures.com,Jan Hammer,FinTech
Lightspeed Venture,contact@lsvp.com,Jeremy Liew,Enterprise
General Catalyst,info@generalcatalyst.com,Hemant Taneja,FinTech
Bessemer Venture,info@bvp.com,Byron Deeter,Cloud/SaaS
Greylock Partners,info@greylock.com,Reid Hoffman,Enterprise
Paradigm,contact@paradigm.xyz,Matt Huang,DeFi/Crypto
Coinbase Ventures,ventures@coinbase.com,Alex Reeve,Crypto/Web3
Binance Labs,labs@binance.com,Bill Qian,Blockchain
Alameda Research,contact@alameda-research.com,Sam Trabucco,Crypto Trading
Jump Crypto,crypto@jump.trading,Kanav Kariya,Crypto Infrastructure
Multicoin Capital,contact@multicoin.capital,Kyle Samani,Web3
Electric Capital,hello@electric.capital,Avichal Garg,Crypto/AI
Dragonfly Capital,contact@dcp.capital,Haseeb Qureshi,Crypto
JPMorgan Ventures,ventures@jpmorgan.com,Matt Harris,FinTech
Goldman Sachs,innovation@gs.com,David Campbell,RegTech
Citi Ventures,ventures@citi.com,Vanessa Colella,FinTech
Wells Fargo Strategic,strategic@wellsfargo.com,Brad Hanson,Banking Tech
BBVA Ventures,ventures@bbva.com,Javier Rodríguez,FinTech
Santander InnoVentures,innoventures@santander.com,Manuel Silva,FinTech
HSBC Ventures,ventures@hsbc.com,Niki Skene,RegTech
Standard Chartered,ventures@sc.com,Alex Manson,Trade Finance
Balderton Capital,team@balderton.com,Suranga Chandratillake,B2B Tech
Atomico,team@atomico.com,Niklas Zennström,Scale-ups
Northzone,team@northzone.com,Pär-Jörgen Pärson,SaaS
Creandum,team@creandum.com,Carl Fritjofsson,B2B
Dawn Capital,team@dawncapital.com,Haakon Overli,B2B SaaS
Notion Capital,team@notion.vc,Jos White,B2B Software
Mosaic Ventures,team@mosaicventures.com,Simon Levene,Deep Tech
Earlybird Venture,team@earlybird.com,Fabian Heilemann,Enterprise
GGV Capital,team@ggvc.com,Hans Tung,Cross-border
Vertex Ventures,contact@vertex.vc,Chua Kee Lock,Enterprise
Golden Gate Ventures,team@goldengate.vc,Jeffrey Paine,SEA Tech
Monk's Hill Ventures,team@monkshill.com,Peng T. Ong,Deep Tech
B Capital Group,team@bcapgroup.com,Raj Ganguly,Enterprise
Jungle Ventures,team@jungle-ventures.com,Amit Anand,B2B
East Ventures,team@east.vc,Willson Cuaca,Early Stage
500 Global,team@500.co,Khailee Ng,Global VC
FinTech Collective,team@fintechcollective.com,Brooks Gibbins,RegTech
Nyca Partners,team@nyca.com,Hans Morris,FinServices
Anthemis Group,team@anthemis.com,Sean Park,FinTech
QED Investors,team@qedinvestors.com,Nigel Morris,FinTech
Ribbit Capital,team@ribbitcap.com,Nick Shalek,FinTech
Propel Venture,team@propel.vc,Ryan Gilbert,FinTech
Commerce Ventures,team@commerceventures.com,Dan Rosen,Commerce Tech
Core Innovation,team@coreinnovationcapital.com,Arjan Schütte,FinTech
In-Q-Tel,contact@iqt.org,Christopher Darby,National Security
CIA Venture Capital,ventures@cia.gov,Dawn Meyerriecks,Intelligence Tech
DARPA Innovation,innovation@darpa.mil,Peter Highnam,Defense Tech
UK Government Investments,enquiries@ukgi.org.uk,Charles Donald,Strategic Tech
Israel Innovation Authority,info@innovationisrael.org.il,Dror Bin,Deep Tech
Singapore EDBI,enquiry@edbi.com,Chu Swee Yeok,Deep Tech
Naval Ravikant,naval@spearhead.co,Naval Ravikant,Crypto/Startups
Tim Draper,tim@dfj.com,Tim Draper,Crypto/VC
Marc Benioff,marc@salesforce.com,Marc Benioff,Enterprise
Peter Thiel,peter@founders-fund.com,Peter Thiel,Deep Tech
Chamath Palihapitiya,team@socialcapital.com,Chamath Palihapitiya,Tech/SPAC
Balaji Srinivasan,balaji@earn.com,Balaji Srinivasan,Crypto/Tech
Elad Gil,elad@eladgil.com,Elad Gil,Late Stage
Jason Calacanis,jason@launch.co,Jason Calacanis,Early Stage
